id;fecha_creacion;fecha_cita;hora;nombre_cliente;valor_perforacion;valor_pagado;valor_deuda;estado
1;2022-01-27T03:20:02;2022-01-26T23:17:51;deposit Chipre withdrawal;Hormigon Respuesta open-source;54899;39037;38501;71090
2;2022-01-27T16:51:00;2022-01-27T18:56:04;Algodón;sexy e-enable;10689;17311;5588;24438
3;2022-01-27T06:28:33;2022-01-26T23:42:18;medición Plástico Pre-emptivo;potenciada multi-byte;75923;49017;9675;67612
4;2022-01-27T19:57:30;2022-01-27T15:23:31;Puente driver;empower auxiliary;66538;79168;51540;28216
5;2022-01-27T12:01:16;2022-01-27T03:05:13;Acero;Navarra Jefe Adelante;94995;89673;83577;81911
6;2022-01-27T16:05:00;2022-01-27T18:15:19;direccional Azul enfoque;Optimizado secundaria Coche;10442;12539;50984;17288
7;2022-01-27T05:28:58;2022-01-27T16:33:18;Riel Práctico modular;calculate;64587;78430;97226;59453
8;2022-01-27T08:15:08;2022-01-26T23:02:17;asimétrica hacking connecting;Andalucía Rústico;96083;45383;38008;57082
9;2022-01-27T19:45:00;2022-01-27T00:39:59;parsing Buckinghamshire;Salchichas;58642;26011;51192;22596
10;2022-01-26T22:58:36;2022-01-27T08:34:12;web-readiness;Acero Perú Seguro;44159;18302;8398;39955
